Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,070247,2000,12,30.3
IDCJAC0003,070247,2001,01,23.8
IDCJAC0003,070247,2001,02,21.8
IDCJAC0003,070247,2001,03,19.0
IDCJAC0003,070247,2001,04,13.8
IDCJAC0003,070247,2001,05,11.0
IDCJAC0003,070247,2001,06,8.4
IDCJAC0003,070247,2001,07,8.5
IDCJAC0003,070247,2001,08,12.0
IDCJAC0003,070247,2001,09,16.9
IDCJAC0003,070247,2001,10,21.4
IDCJAC0003,070247,2001,11,23.8
IDCJAC0003,070247,2001,12,27.2
IDCJAC0003,070247,2002,01,27.7
IDCJAC0003,070247,2002,02,20.4
IDCJAC0003,070247,2002,03,20.2
IDCJAC0003,070247,2002,04,14.3
IDCJAC0003,070247,2002,05,10.0
IDCJAC0003,070247,2002,06,8.6
IDCJAC0003,070247,2002,07,9.9
IDCJAC0003,070247,2002,08,14.1
IDCJAC0003,070247,2002,09,17.7
IDCJAC0003,070247,2002,10,22.4
IDCJAC0003,070247,2002,11,24.9
IDCJAC0003,070247,2002,12,26.5
IDCJAC0003,070247,2003,01,27.3
IDCJAC0003,070247,2003,02,22.9
IDCJAC0003,070247,2003,03,20.1
IDCJAC0003,070247,2003,04,13.7
IDCJAC0003,070247,2003,05,10.5
IDCJAC0003,070247,2003,06,8.0
IDCJAC0003,070247,2003,07,9.6
IDCJAC0003,070247,2003,08,11.7
IDCJAC0003,070247,2003,09,18.6
IDCJAC0003,070247,2003,10,20.2
IDCJAC0003,070247,2003,11,25.3
IDCJAC0003,070247,2003,12,26.5
IDCJAC0003,070247,2004,01,26.8
IDCJAC0003,070247,2004,02,23.4
IDCJAC0003,070247,2004,03,20.9
IDCJAC0003,070247,2004,04,14.2
IDCJAC0003,070247,2004,05,11.0
IDCJAC0003,070247,2004,06,8.6
IDCJAC0003,070247,2004,07,8.8
IDCJAC0003,070247,2004,08,12.3
IDCJAC0003,070247,2004,09,16.8
IDCJAC0003,070247,2004,10,21.0
IDCJAC0003,070247,2004,11,25.5
IDCJAC0003,070247,2004,12,26.7
IDCJAC0003,070247,2005,01,26.2
IDCJAC0003,070247,2005,02,21.8
IDCJAC0003,070247,2005,03,20.0
IDCJAC0003,070247,2005,04,15.3
IDCJAC0003,070247,2005,05,11.4
IDCJAC0003,070247,2005,06,7.2
IDCJAC0003,070247,2005,07,8.7
IDCJAC0003,070247,2005,08,13.4
IDCJAC0003,070247,2005,09,15.7
IDCJAC0003,070247,2005,10,19.6
IDCJAC0003,070247,2005,11,25.5
IDCJAC0003,070247,2006,01,25.0
IDCJAC0003,070247,2006,02,26.9
IDCJAC0003,070247,2006,03,19.9
IDCJAC0003,070247,2006,04,15.4
IDCJAC0003,070247,2006,05,10.1
IDCJAC0003,070247,2006,06,7.7
IDCJAC0003,070247,2006,07,8.6
IDCJAC0003,070247,2006,08,13.6
IDCJAC0003,070247,2006,09,18.1
IDCJAC0003,070247,2006,10,24.8
IDCJAC0003,070247,2006,11,25.4
IDCJAC0003,070247,2006,12,26.1
IDCJAC0003,070247,2007,01,28.2
IDCJAC0003,070247,2007,02,22.4
IDCJAC0003,070247,2007,03,18.6
IDCJAC0003,070247,2007,04,14.2
IDCJAC0003,070247,2007,05,10.1
IDCJAC0003,070247,2007,06,7.7
IDCJAC0003,070247,2007,07,9.3
IDCJAC0003,070247,2007,08,12.3
IDCJAC0003,070247,2007,09,17.6
IDCJAC0003,070247,2007,10,22.4
IDCJAC0003,070247,2007,11,22.7
IDCJAC0003,070247,2007,12,23.4
IDCJAC0003,070247,2008,01,25.9
IDCJAC0003,070247,2008,02,21.8
IDCJAC0003,070247,2008,03,19.5
IDCJAC0003,070247,2008,04,14.6
IDCJAC0003,070247,2008,05,10.9
IDCJAC0003,070247,2008,06,7.6
IDCJAC0003,070247,2008,07,8.5
IDCJAC0003,070247,2008,08,12.6
IDCJAC0003,070247,2008,09,18.2
IDCJAC0003,070247,2008,10,22.8
IDCJAC0003,070247,2008,11,22.8
IDCJAC0003,070247,2008,12,26.2
IDCJAC0003,070247,2009,01,30.5
IDCJAC0003,070247,2009,02,22.1
IDCJAC0003,070247,2009,03,18.8
IDCJAC0003,070247,2009,04,12.9
IDCJAC0003,070247,2009,05,9.9
IDCJAC0003,070247,2009,06,7.1
IDCJAC0003,070247,2009,07,9.2
IDCJAC0003,070247,2009,08,12.1
IDCJAC0003,070247,2009,09,16.6
IDCJAC0003,070247,2009,10,18.4
IDCJAC0003,070247,2009,11,25.2
IDCJAC0003,070247,2009,12,28.0
IDCJAC0003,070247,2010,01,29.0
IDCJAC0003,070247,2010,02,21.1
IDCJAC0003,070247,2010,03,18.2
IDCJAC0003,070247,2010,04,14.1
IDCJAC0003,070247,2010,05,10.2
IDCJAC0003,070247,2010,06,8.7
IDCJAC0003,070247,2010,07,9.0
IDCJAC0003,070247,2010,08,11.9
IDCJAC0003,070247,2010,09,16.9
IDCJAC0003,070247,2010,10,19.3
